SAMPLE ID,SIO2,TIO2,AL2O3,MNO,MGO,CAO,NA2O,K2O,P2O5,class
ME4,81.1,0.71,7.5,0.08,1.1,0.72,0.86,1.89,0.03,Non-sand
"91-596-1.2,68-71",52.77,0.842,14.67,1.242,3.29,2.4,4.33,3.579,1.2,Non-sand
17-Mar,43.73,2.06,15.9,0.17,10.03,4.57,1.39,1.52,0.16,Non-sand
ME5,84.9,0.33,5.4,0.03,0.27,2,0.07,1.63,0.02,Non-sand
V14-55,65.91,0.614,11.08,0.152,2.42,4.03,3.41,1.14,0.082,Non-sand
PK-40,43.93,0.28,5.13,0.16,23.33,3.19,0.02,0.009,0.02,Non-sand
"91-595A-4-1,20-25",49.79,0.761,14.02,2.528,3.37,2.2,5.03,3.278,1.045,Non-sand
12-May,57.49,0.92,17.16,0.19,2.1,1.45,0.82,2.39,0.11,Non-sand
"21-204-5-1,60-61D",44.57,0.37,14.04,2.48,2.8,4.26,4,2.87,1.73,Non-sand
"19-183-36-1,86-88",61.84,0.775,15.81,0.077,3.04,1.79,2.96,2.41,0.307,Non-sand
CF-15,66.2,0.83,19.6,0.1,2.14,1.2,0.45,2.13,0.15,Non-sand
"19-183-22-2,73-75",58.98,0.884,17.49,0.086,3.25,1,2.83,3.2,0.181,Non-sand
B-8C,73.1,0.83,12.3,0.03,1.29,0.53,1.72,1.61,0.11,Non-sand
JA-2,51.78,0.7,26.87,0,2.94,0.76,0.09,6.49,0.03,Non-sand
A007-4,51.25639,0.25184616,5.100201,0.2834851,1.6414295,11.263472,0,1.4288156,0.26197064,Non-sand
"19-183-21-1,127-129",65.31,0.638,9.93,0.891,2.2,2.18,4.32,1.14,0.142,Non-sand
ASH-3,45.7,0.43,28.3,0.02,2.06,3.69,0.11,5.89,0.07,Non-sand
D121151,43.4,0.55,11.1,0.07,1.4,18.8,0.1,2,0.07,Non-sand
D121210,63.2,0.89,17.2,0.05,1.6,0.24,0.3,2.5,0.12,Non-sand
D121268,73.2,0.66,11.7,0.06,1.6,0.5,0.4,3,0.12,Non-sand
D121293,63.2,0.91,17.6,0.05,1.5,0.7,0.4,3.2,0.11,Non-sand
D121348,39.3,0.51,10.2,0.05,1.4,21.1,0.4,2.3,0.08,Non-sand
D121419,72.3,0.65,11.9,0.04,1.6,0.3,0.4,3.4,0.11,Non-sand
D121485,39.4,0.47,10.2,0.1,1.1,21.7,0.1,1.8,0.07,Non-sand
D121527,64.9,0.77,16.2,0.02,1.7,0.5,0.6,4,0.03,Non-sand
D121553,42.8,0.57,11.1,0.06,1.3,18.9,0.1,2.5,0.08,Non-sand
D133317,66.7,0.45,14.7,0.02,1.1,0.5,0.5,2.7,0.12,Non-sand
D144645,54.1,0.59,11.3,0.04,3.8,9.1,0.54,2.1,0.15,Non-sand
D144653,66.9,0.57,14.6,0.02,2.1,0.76,0.8,3.2,0.15,Non-sand
D144656,49.3,0.54,10.5,0.04,2.8,13.3,0.48,1.7,0.15,Non-sand
D144667,66.9,0.62,15,0.04,1.5,0.96,0.32,2.8,0.18,Non-sand
D144698,62.3,0.73,17.1,0.02,1.7,1,0.19,2.5,0.17,Non-sand
D144700,73.4,0.76,14.5,0.02,0.67,0.14,0.06,1.8,0.04,Non-sand
D144747,74,0.71,13.4,0.03,0.5,1,0.56,2.6,0.06,Non-sand
D144758,77.3,0.46,11.1,0.03,0.48,1.4,0.95,2.5,0.04,Non-sand
D144772,63.4,0.71,19,0.04,1.5,0.97,0.18,2.6,0.06,Non-sand
D144797,74.3,0.54,12.5,0.05,1.2,0.19,0.51,2.7,0.09,Non-sand
D144814,63.8,0.72,18.4,0.02,1.2,0.24,0.21,2.7,0.08,Non-sand
D144826,72.4,0.62,15.2,0.03,0.6,0.36,1.2,3.1,0.04,Non-sand
D144867,64.6,0.6,12.3,0.08,2.6,3,0.53,2.7,0.13,Non-sand
D158429,57.6,1,20,0.05,1.3,0.61,0.28,3.1,0.21,Non-sand
D158440,57.3,1.1,22.6,0.04,0.82,1.5,0.25,2.6,0.06,Non-sand
D187489,51,0.49,12.3,0.18,8.87,2,3.53,4.15,0.08,Non-sand
D187492,52.9,0.39,11.7,0.1,8.35,2.76,2.91,5.85,0.06,Non-sand
D215056,61,0.52,12.2,0.03,2.3,5.08,0.5,2.25,0.1,Non-sand
D215064,34.7,0.39,8.59,0.41,3.7,5.87,0.3,1.27,0.2,Non-sand
D215086,58.2,0.68,15,0.07,2,4.94,0.4,2.2,0.1,Non-sand
D215105,62.7,0.68,16.7,0.05,1.7,1.26,0.7,2.69,0.2,Non-sand
D215122,60.2,0.68,15.6,0.04,2,3.81,0.6,2.34,0.2,Non-sand
D215123,59.3,0.65,16.1,0.03,1.5,4.09,1.2,3.65,0.1,Non-sand
D215140,50.4,0.46,11.4,0.03,2.7,11.2,0.3,2.23,0.2,Non-sand
D215152,56.7,0.61,12.9,0.07,2,3.99,0.4,2.1,0.1,Non-sand
D215177,61.9,0.66,16.5,0.06,1.7,1.24,0.6,2.67,0.2,Non-sand
D215201,57.1,0.61,14.4,0.08,2.1,5.32,0.4,2.29,0.2,Non-sand
D215210,58.6,0.68,14.9,0.08,2,5.01,0.4,2.21,0.1,Non-sand
D215217,67.2,0.66,14.2,0.03,1.2,0.54,0.5,2.43,0.2,Non-sand
D215234,60.5,0.64,16.8,0.16,1.9,1.45,0.6,2.64,0.2,Non-sand
D215253,65.8,0.59,14.3,0.19,1.4,0.81,0.6,2.45,0.2,Non-sand
D215264,56.6,0.62,14.2,0.08,2.1,5.34,0.4,2.28,0.2,Non-sand
D215275,57.5,0.6,11.2,0.05,2.2,8.64,0.4,2.05,0.2,Non-sand
D215286,59.6,0.67,15.5,0.04,2,3.7,0.5,2.32,0.2,Non-sand
D215296,61.1,0.65,14.6,0.06,1.9,3,0.2,2.17,0.1,Non-sand
D229186,52.8,0.71,14.3,0.1,4.4,6.27,1.5,3.76,0.3,Non-sand
D229233,50.3,0.56,15,0.07,3.2,7.57,0.8,4.45,0.2,Non-sand
D229234,57,0.58,14.4,0.05,3.5,4.95,1,4.63,0.2,Non-sand
D229261,51.5,0.61,15.6,0.08,3.5,4.37,3.3,2.52,0.2,Non-sand
D229265,49.9,0.59,16.2,0.06,3,7.12,0.5,3.87,0.2,Non-sand
D229268,48.5,0.56,15,0.12,3.1,8.65,0.7,3.27,0.1,Non-sand
D239869,58.2,0.73,16.5,0.08,2.98,2.29,1.39,3.09,0.18,Non-sand
D239870,61.3,0.65,13.5,0.05,2.92,3.66,1.57,2.24,0.18,Non-sand
